"0.4,-6.4,13,Not Done"
"0.3,-7.7,11,Not Done"
"0.3,-6.8,10,Not Done"
"0.3,-5.7,10,Not Done"
"0.3,-3.1,13,Not Done"
"0.3,-0.4,17,Not Done"
"0.3,1.2,20,Not Done"
"0.4,0.1,21,Not Done"
"0.4,-3.6,17,Not Done"
"0.4,-5.1,15,Not Done"
"0.4,-7.8,12,Not Done"
"0.3,-6.1,12,Not Done"
"0.3,-3.7,13,Not Done"
"0.3,-2.2,14,Not Done"
"0.4,-1.2,18,Not Done"
"0.4,-2.1,18,Not Done"
"0.4,-2.2,19,Not Done"
"0.4,-4.5,16,Not Done"
"0.4,-6.0,14,Not Done"
"0.4,-4.2,15,Not Done"
"0.3,-3.4,15,Not Done"
"0.4,-2.2,17,Not Done"
"0.4,-2.2,18,Not Done"
"0.4,-2.3,19,Not Done"
"0.4,-4.7,16,Not Done"
"0.4,-3.4,16,Not Done"
"0.4,-4.8,15,Not Done"
"0.4,-5.8,15,Not Done"
"0.4,-3.1,17,Not Done"
"0.4,-1.1,19,Not Done"
"0.4,-3.3,18,Not Done"
"0.4,-6.0,14,Not Done"
"0.3,-6.5,12,Not Done"
"0.3,-2.7,16,Not Done"
"0.4,-4.5,14,Not Done"
"0.4,-2.9,17,Not Done"
"0.4,-0.3,21,Not Done"
"0.4,-4.0,17,Not Done"
"0.4,-6.6,13,Not Done"
"0.4,-4.4,15,Not Done"
"0.4,-3.4,16,Not Done"
"0.4,-4.3,16,Not Done"
"0.4,-2.8,18,Not Done"
"0.4,-1.5,20,Not Done"
"0.4,-3.4,17,Not Done"
"0.4,-3.8,18,Not Done"
"0.4,-3.3,19,Not Done"
"0.4,-2.7,20,Not Done"
"0.4,-0.3,24,Not Done"
"0.5,-3.3,22,Not Done"
"0.4,-6.2,18,Not Done"
"0.4,-4.6,18,Not Done"
"0.4,-4.7,18,Not Done"
"0.4,-6.3,17,Not Done"
"0.4,-3.6,19,Not Done"
"0.4,-4.0,19,Not Done"
"0.4,-5.5,16,Not Done"
"0.4,-5.0,16,Not Done"
"0.4,-6.3,15,Not Done"
"0.4,-4.9,17,Not Done"
"0.4,-4.0,17,Not Done"
"0.4,-4.7,16,Not Done"
"0.4,-4.4,16,Not Done"
"0.4,-4.2,17,Not Done"
"0.4,-2.7,19,Not Done"
"0.4,-2.4,20,Not Done"
"0.4,-4.6,18,Not Done"
"0.4,-5.9,16,Not Done"
"0.4,-3.9,17,Not Done"
"0.4,-4.6,17,Not Done"
"0.4,-3.5,19,Not Done"
"0.4,-0.7,23,Not Done"
"0.4,-4.5,18,Not Done"
"0.4,-5.5,17,Not Done"
"0.4,-3.3,20,Not Done"
"0.5,-4.4,20,Not Done"
"0.5,-5.5,19,Not Done"
"0.4,-5.0,19,Not Done"
"0.4,-3.7,20,Not Done"
"0.4,-3.5,20,Not Done"
"0.5,-3.1,21,Not Done"
"0.5,-1.9,25,Not Done"
"0.5,-7.4,18,Not Done"
"0.4,-8.9,15,Not Done"
"0.4,-4.9,18,Not Done"
"0.4,-6.2,17,Not Done"
"0.4,-6.3,17,Not Done"
"0.4,-4.3,20,Not Done"
"0.4,-6.9,16,Not Done"
"0.4,-7.1,15,Not Done"
"0.4,-5.0,17,Not Done"
"0.4,-4.9,17,Not Done"
"0.4,-4.3,19,Not Done"
"0.4,-3.8,18,Not Done"
"0.4,-5.9,15,Not Done"
"0.4,-7.0,14,Not Done"
"0.4,-4.7,16,Not Done"
"0.4,-0.7,21,Not Done"
"0.4,-3.1,20,Not Done"
"0.4,-6.3,16,Not Done"
"0.4,-4.9,17,Not Done"
"0.4,-3.7,19,Not Done"
"0.4,-4.9,18,Not Done"
"0.4,-3.3,20,Not Done"
"0.4,-2.4,22,Not Done"
"0.4,-5.5,18,Not Done"
"0.4,-6.0,17,Not Done"
"0.4,-6.1,16,Not Done"
"0.4,-5.8,16,Not Done"
"0.4,-5.6,16,Not Done"
"0.4,-5.5,16,Not Done"
"0.4,-4.7,16,Not Done"
"0.4,-3.5,18,Not Done"
"0.4,-2.1,21,Not Done"
"0.4,-2.1,21,Not Done"
"0.4,-6.4,16,Not Done"
"0.4,-7.8,14,Not Done"
"0.4,-5.0,16,Not Done"
"0.4,-3.1,18,Not Done"
"0.4,-4.0,18,Not Done"
"0.4,-4.2,18,Not Done"
"0.4,-6.2,15,Not Done"
"0.4,-6.9,14,Not Done"
"0.4,-5.2,15,Not Done"
"0.4,-2.7,18,Not Done"
"0.4,-1.8,20,Not Done"
"0.4,-6.0,16,Not Done"
"0.4,-7.0,15,Not Done"
"0.4,-4.5,16,Not Done"
"0.4,-3.3,18,Not Done"
"0.4,-3.6,18,Not Done"
"0.4,-4.2,19,Not Done"
"0.4,-6.6,16,Not Done"
"0.4,-7.5,14,Not Done"
"0.4,-7.5,13,Not Done"
"0.4,-7.0,14,Not Done"
"0.4,-5.5,16,Not Done"
"0.4,-2.4,20,Not Done"
"0.4,-5.2,19,Not Done"
"0.4,-10.2,13,Not Done"
"0.4,-10.0,11,Not Done"
"0.4,-8.8,11,Not Done"
"0.4,-8.3,12,Not Done"
"0.4,-7.9,12,Not Done"
"0.4,-7.7,13,Not Done"
"0.4,-9.5,10,Not Done"
"0.3,-10.2,8,Not Done"
"0.3,-8.0,9,Not Done"
"0.3,-8.0,9,Not Done"
"0.3,-7.6,10,Not Done"
"0.3,-5.6,13,Not Done"
"0.4,-5.7,14,Not Done"
"0.4,-8.1,12,Not Done"
"0.4,-10.5,9,Not Done"
"0.3,-11.6,5,Not Done"
"0.3,-12.8,1,Not Done"
"0.2,-12.5,0,Not Done"
"0.2,-11.3,1,Not Done"
"0.2,-11.4,0,Not Done"
"0.2,-11.6,0,Not Done"
"0.2,-10.6,0,Not Done"
"0.2,-9.6,0,Not Done"
"0.2,-8.8,1,Not Done"
"0.2,-8.5,1,Not Done"
"0.2,-9.5,0,Not Done"
"0.1,-10.5,-3,Not Done"
"0.1,-11.3,-5,Not Done"
"0.1,-11.7,-7,Not Done"
"0.0,-11.5,-9,Not Done"
"0.0,-11.7,-11,Not Done"
"-0.0,-12.1,-13,Not Done"
"-0.1,-12.8,-16,Not Done"
"-0.1,-13.0,-19,Not Done"
"-0.2,-13.4,-21,Not Done"
"-0.2,-14.7,-25,Not Done"
"-0.2,-15.5,-29,Not Done"
"-0.3,-16.6,-33,Not Done"
"-0.4,-17.6,-37,Not Done"
"-0.5,-13.6,-40,Not Done"
"-0.5,-3.8,-31,Not Done"
"-0.3,11.5,-6,Not Done"
"-0.2,12.4,1,Not Done"
"-0.1,11.1,6,Not Done"
"-0.0,7.1,6,Not Done"
"0.0,3.1,4,Not Done"
"0.1,0.5,4,Not Done"
"0.0,2.2,3,Not Done"
"0.0,5.1,6,Not Done"
"0.2,-2.4,6,Not Done"
"0.2,-6.8,3,Not Done"
"0.1,-14.1,-5,Not Done"
"0.0,-25.1,-24,Not Done"
"-0.1,-26.4,-34,Not Done"
"-0.3,-21.0,-35,Not Done"
"-0.3,-22.2,-41,Not Done"
"-0.4,-22.3,-46,Not Done"
"-0.5,-21.3,-49,Not Done"
"-0.6,-21.1,-52,Not Done"
"-0.7,-7.6,-46,Not Done"
"-0.6,19.5,-11,Not Done"
"-0.3,24.5,9,Not Done"
"-0.0,18.2,15,Not Done"
"0.0,13.0,15,Not Done"
"0.1,8.8,15,Not Done"
"0.2,5.1,14,Not Done"
"0.2,2.1,12,Not Done"
"0.2,-4.0,6,Not Done"
"0.2,-17.1,-6,Not Done"
"-0.0,-33.9,-35,Not Done"
"-0.2,-32.9,-46,Not Done"
"-0.4,-28.5,-49,Not Done"
"-0.5,-27.5,-55,Not Done"
"-0.6,-25.7,-60,Not Done"
"-0.8,-24.8,-67,Not Done"
"-0.9,-7.2,-54,Not Done"
"-0.7,19.0,-19,Not Done"
"-0.4,31.5,9,Not Done"
"-0.2,22.2,12,Not Done"
"-0.0,18.3,16,Not Done"
"0.1,16.0,19,Not Done"
"0.1,16.2,22,Not Done"
"0.3,11.9,27,Not Done"
"0.3,-2.3,16,Not Done"
"0.2,-21.9,-9,Not Done"
"-0.1,-28.5,-31,Not Done"
"-0.2,-24.1,-36,Not Done"
"-0.3,-25.7,-43,Not Done"
"-0.4,-27.4,-51,Not Done"
"-0.5,-27.5,-57,Not Done"
"-0.8,-18.5,-60,Not Done"
"-0.6,18.4,-17,Not Done"
"-0.4,20.3,-3,Not Done"
"-0.2,11.6,-1,Not Done"
"-0.2,7.7,-4,Not Done"
"-0.2,2.6,-6,Not Done"
"-0.2,3.3,-6,Not Done"
"-0.2,2.5,-6,Not Done"
"-0.1,-2.9,-10,Not Done"
"-0.2,-7.2,-15,Not Done"
"-0.2,-10.7,-21,Not Done"
"-0.3,-9.8,-24,Not Done"
"-0.2,-0.5,-13,Not Done"
"-0.2,-0.9,-10,Not Done"
"-0.2,-6.0,-16,Not Done"
"-0.2,-7.6,-18,Not Done"
"-0.2,-10.2,-23,Not Done"
"-0.3,-7.0,-23,Not Done"
"-0.3,-0.8,-17,Not Done"
"-0.3,2.0,-13,Not Done"
"-0.2,-1.1,-12,Not Done"
"-0.2,-5.8,-17,Not Done"
"-0.2,-4.9,-17,Not Done"
"-0.2,-3.2,-15,Not Done"
"-0.2,-3.9,-14,Not Done"
"-0.2,-4.6,-15,Not Done"
"-0.2,-6.5,-18,Not Done"
"-0.2,-7.9,-21,Not Done"
"-0.2,-5.7,-19,Not Done"
"-0.3,-5.6,-19,Not Done"
"-0.3,-7.3,-22,Not Done"
"-0.3,-6.5,-23,Not Done"
"-0.3,-6.0,-23,Not Done"
"-0.3,-2.6,-19,Not Done"
"-0.3,-2.4,-18,Not Done"
"-0.3,-4.5,-19,Not Done"
"-0.3,-3.8,-20,Not Done"
"-0.3,-5.1,-21,Not Done"
"-0.3,-1.7,-17,Not Done"
"-0.3,-2.1,-16,Not Done"
"-0.3,-5.1,-21,Not Done"
"-0.3,-4.4,-20,Not Done"
"-0.3,-4.5,-21,Not Done"
"-0.3,-2.1,-17,Not Done"
"-0.3,-5.9,-21,Not Done"
"-0.3,-5.0,-20,Not Done"
"-0.3,-3.3,-19,Not Done"
"-0.3,-4.7,-21,Not Done"
"-0.3,-2.0,-16,Not Done"
"-0.2,-2.7,-16,Not Done"
"-0.3,-6.3,-21,Not Done"
"-0.3,-5.2,-22,Not Done"
"-0.3,-5.2,-23,Not Done"
"-0.3,-5.3,-24,Not Done"
"-0.3,-0.7,-18,Not Done"
"-0.3,-0.9,-17,Not Done"
"-0.3,-4.1,-20,Not Done"
"-0.3,-2.9,-19,Not Done"
"-0.3,-1.8,-16,Not Done"
"-0.3,-4.9,-19,Not Done"
"-0.3,-6.4,-23,Not Done"
"-0.3,-3.8,-22,Not Done"
"-0.3,-2.8,-21,Not Done"
"-0.3,-1.4,-17,Not Done"
"-0.3,-4.4,-19,Not Done"
"-0.3,-7.6,-25,Not Done"
"-0.3,-3.4,-22,Not Done"
"-0.3,-0.3,-17,Not Done"
"-0.3,-3.2,-20,Not Done"
"-0.3,-4.6,-20,Not Done"
"-0.3,-3.9,-21,Not Done"
"-0.3,-1.8,-19,Not Done"
"-0.3,-4.5,-21,Not Done"
"-0.3,-5.4,-22,Not Done"
"-0.3,-6.2,-24,Not Done"
"-0.3,-2.1,-21,Not Done"
"-0.3,-0.6,-16,Not Done"
"-0.3,-1.9,-17,Not Done"
"-0.3,-6.0,-20,Not Done"
"-0.3,-5.6,-21,Not Done"
"-0.3,-1.9,-18,Not Done"
"-0.3,-2.0,-19,Not Done"
"-0.3,-2.7,-19,Not Done"
"-0.3,-3.8,-20,Not Done"
"-0.3,-1.4,-17,Not Done"
"-0.2,-1.1,-14,Not Done"
"-0.2,-3.9,-17,Not Done"
"-0.2,-5.3,-18,Not Done"
"-0.3,-9.4,-24,Not Done"
"-0.3,-5.6,-22,Not Done"
"-0.3,-1.2,-18,Not Done"
"-0.3,-3.9,-19,Not Done"
"-0.3,-7.0,-23,Not Done"
"-0.3,-6.4,-22,Not Done"
"-0.3,-6.1,-23,Not Done"
"-0.4,-5.1,-24,Not Done"
"-0.3,-2.2,-20,Not Done"
"-0.3,-3.8,-22,Not Done"
"-0.3,-2.9,-20,Not Done"
"-0.3,-3.0,-19,Not Done"
"-0.3,-3.5,-22,Not Done"
"-0.4,-4.5,-23,Not Done"
"-0.4,-3.8,-23,Not Done"
"-0.3,-0.9,-18,Not Done"
"-0.3,-2.8,-19,Not Done"
"-0.3,-4.5,-21,Not Done"
"-0.3,-2.2,-19,Not Done"
"-0.3,-2.7,-18,Not Done"
"-0.3,-2.9,-20,Not Done"
"-0.3,-3.9,-22,Not Done"
"-0.4,-2.0,-21,Not Done"
"-0.3,-0.1,-16,Not Done"
"-0.3,-3.6,-20,Not Done"
"-0.3,-3.8,-22,Not Done"
"-0.3,-2.0,-20,Not Done"
"-0.3,-0.3,-18,Not Done"
"-0.3,-1.8,-17,Not Done"
"-0.3,-3.5,-18,Not Done"
"-0.3,-3.4,-19,Not Done"
"-0.3,-3.7,-20,Not Done"
"-0.3,-0.2,-15,Not Done"
"-0.3,-3.1,-17,Not Done"
"-0.3,-5.4,-20,Not Done"
"-0.3,-4.5,-20,Not Done"
"-0.3,-2.8,-18,Not Done"
"-0.3,-2.6,-17,Not Done"
"-0.3,-5.8,-20,Not Done"
"-0.3,-5.6,-20,Not Done"
"-0.3,-5.4,-22,Not Done"
"-0.3,-3.6,-21,Not Done"
"-0.3,-3.6,-19,Not Done"
"-0.3,-5.4,-22,Not Done"
"-0.3,-4.9,-23,Not Done"
"-0.4,-4.4,-24,Not Done"
"-0.4,-1.3,-22,Not Done"
"-0.3,0.4,-17,Not Done"
"-0.3,-1.7,-18,Not Done"
"-0.3,-4.2,-21,Not Done"
"-0.3,0.4,-16,Not Done"
"-0.3,2.2,-13,Not Done"
"-0.3,-0.8,-15,Not Done"
"-0.3,-2.3,-17,Not Done"
"-0.3,-1.2,-15,Not Done"
"-0.2,-1.2,-14,Not Done"
"-0.2,-0.9,-12,Not Done"
"-0.2,-3.3,-14,Not Done"
"-0.2,-6.4,-17,Not Done"
"-0.3,-7.1,-21,Not Done"
"-0.3,-2.0,-17,Not Done"
"-0.3,-0.2,-13,Not Done"
"-0.2,-4.7,-18,Not Done"
"-0.3,-6.1,-19,Not Done"
"-0.3,-6.5,-22,Not Done"
"-0.3,-3.1,-20,Not Done"
"-0.3,-1.6,-18,Not Done"
"-0.3,-3.2,-19,Not Done"
"-0.3,-2.7,-18,Not Done"
"-0.3,-1.8,-17,Not Done"
"-0.3,-2.5,-19,Not Done"
"-0.3,0.0,-15,Not Done"
"-0.2,1.6,-11,Not Done"
"-0.2,-1.1,-14,Not Done"
"-0.3,-2.8,-18,Not Done"
"-0.3,-1.6,-19,Not Done"
"-0.3,2.6,-14,Not Done"
"-0.3,1.5,-13,Not Done"
"-0.2,2.5,-11,Not Done"
"-0.2,1.8,-11,Not Done"
"-0.2,-1.4,-14,Not Done"
"-0.2,1.5,-11,Not Done"
"-0.2,6.6,-5,Not Done"
"-0.2,8.1,-1,Not Done"
"-0.1,5.1,-2,Not Done"
"-0.1,4.0,-2,Not Done"
"-0.1,4.0,-2,Not Done"
"-0.1,3.3,-2,Not Done"
"-0.1,1.7,-4,Not Done"
"-0.1,-0.4,-6,Not Done"
"-0.1,-0.1,-6,Not Done"
"-0.1,6.4,0,Not Done"
"-0.1,8.3,3,Not Done"
"-0.1,5.2,2,Not Done"
"-0.0,4.4,2,Not Done"
"0.0,4.2,4,Not Done"
"0.0,2.9,3,Not Done"
"0.0,3.1,4,Not Done"
"0.0,2.3,4,Not Done"
"0.0,2.5,5,Not Done"
"0.1,1.2,6,Not Done"
"0.1,2.0,8,Not Done"
"0.2,2.9,11,Not Done"
"0.2,3.6,14,Not Done"
"0.2,3.9,17,Not Done"
"0.3,2.0,17,Not Done"
"0.3,-0.4,16,Not Done"
"0.3,0.9,18,Not Done"
"0.4,2.1,21,Not Done"
"0.4,2.3,23,Not Done"
"0.4,2.1,24,Not Done"
"0.4,3.9,28,Not Done"
"0.5,0.6,26,Not Done"
"0.4,-12.9,10,Not Done"
"0.3,-13.9,4,Not Done"
"0.3,-10.3,4,Not Done"
"0.3,-8.4,5,Not Done"
"0.2,-4.0,9,Not Done"
"0.3,-1.2,12,Not Done"
"0.3,-0.4,15,Not Done"
"0.3,1.0,19,Not Done"
"0.4,-1.7,21,Not Done"
"0.3,-10.1,8,Not Done"
"0.3,-6.2,10,Not Done"
"0.3,-4.1,10,Not Done"
"0.2,-3.8,9,Not Done"
"0.3,-0.8,13,Not Done"
"0.3,-3.6,13,Not Done"
"0.3,-4.7,12,Not Done"
"0.3,-5.8,10,Not Done"
"0.3,-7.8,6,Not Done"
"0.2,-3.4,9,Not Done"
"0.2,-0.6,12,Not Done"
"0.3,-2.3,11,Not Done"
"0.3,0.4,16,Not Done"
"0.3,0.6,18,Not Done"
"0.4,1.4,21,Not Done"
"0.4,0.9,23,Not Done"
"0.4,-1.1,22,Not Done"
"0.4,-2.6,21,Not Done"
"0.4,-6.1,17,Not Done"
"0.4,-8.4,12,Not Done"
"0.3,-7.5,11,Not Done"
"0.3,-7.5,10,Not Done"
"0.3,-3.9,13,Not Done"
"0.3,-3.4,15,Not Done"
"0.4,-3.5,16,Not Done"
"0.4,-2.7,17,Not Done"
"0.4,-4.5,15,Not Done"
"0.3,-6.8,11,Not Done"
"0.3,-8.1,9,Not Done"
"0.3,-5.1,10,Not Done"
"0.3,-5.2,10,Not Done"
"0.3,-3.9,11,Not Done"
"0.3,-2.2,14,Not Done"
"0.3,-1.8,15,Not Done"
"0.3,-0.1,19,Not Done"
"0.4,-4.2,16,Not Done"
"0.4,-8.4,10,Not Done"
"0.3,-8.1,8,Not Done"
"0.2,-4.8,8,Not Done"
"0.3,-4.4,9,Not Done"
"0.3,-1.0,13,Not Done"
"0.3,-0.3,15,Not Done"
"0.3,-0.3,18,Not Done"
"0.4,-0.1,20,Not Done"
"0.4,-1.7,20,Not Done"
"0.4,-3.7,17,Not Done"
"0.4,-4.2,16,Not Done"
"0.3,-2.4,16,Not Done"
"0.3,-2.4,16,Not Done"
"0.4,-0.5,19,Not Done"
"0.4,1.2,22,Not Done"
"0.4,0.3,24,Not Done"
"0.4,-3.2,20,Not Done"
"0.4,-5.2,18,Not Done"
"0.4,-8.3,15,Not Done"
"0.4,-5.3,17,Not Done"
"0.4,-4.3,17,Not Done"
"0.4,-3.1,18,Not Done"
"0.4,-2.7,19,Not Done"
"0.4,-3.5,19,Not Done"
"0.4,-7.6,15,Not Done"
"0.4,-8.8,12,Not Done"
"0.4,-5.6,14,Not Done"
"0.4,-2.1,19,Not Done"
"0.4,-5.0,16,Not Done"
"0.4,-7.5,12,Not Done"
"0.3,-5.5,13,Not Done"
"0.4,-3.7,15,Not Done"
"0.4,-3.4,17,Not Done"
"0.4,-2.0,19,Not Done"
"0.4,-3.1,17,Not Done"
"0.4,-4.0,17,Not Done"
"0.4,-4.9,16,Not Done"
"0.4,-4.0,17,Not Done"
"0.4,-1.1,20,Not Done"
"0.4,-1.4,21,Not Done"
"0.4,-3.2,19,Not Done"
"0.4,-4.0,18,Not Done"
"0.4,-5.1,17,Not Done"
"0.4,-4.1,18,Not Done"
"0.4,-2.5,20,Not Done"
"0.4,-3.1,19,Not Done"
"0.4,-3.8,18,Not Done"
"0.4,-2.7,20,Not Done"
"0.4,-1.6,21,Not Done"
"0.5,-0.5,24,Not Done"
"0.5,-3.8,21,Not Done"
"0.4,-6.6,16,Not Done"
"0.4,-4.3,17,Not Done"
"0.4,-4.2,18,Not Done"
"0.4,-3.0,19,Not Done"
"0.4,-3.0,20,Not Done"
"0.4,-4.8,18,Not Done"
"0.4,-3.1,18,Not Done"
"0.4,-5.3,18,Not Done"
"0.4,-3.7,19,Not Done"
"0.4,-0.4,23,Not Done"
"0.4,-3.7,19,Not Done"
"0.4,-5.8,18,Not Done"
"0.4,-3.3,20,Not Done"
"0.4,-2.0,21,Not Done"
"0.4,-2.9,20,Not Done"
"0.4,-3.7,18,Not Done"
"0.4,-1.6,22,Not Done"
"0.5,-2.0,22,Not Done"
"0.5,-1.0,25,Not Done"
"0.5,-1.0,26,Not Done"
"0.5,-1.5,26,Not Done"
"0.5,-3.7,25,Not Done"
"0.5,-6.6,20,Not Done"
"0.5,-4.4,22,Not Done"
"0.5,-5.6,19,Not Done"
"0.4,-5.0,19,Not Done"
"0.5,-2.5,22,Not Done"
"0.5,-0.1,26,Not Done"
"0.5,-4.3,21,Not Done"
"0.5,-4.6,21,Not Done"
"0.5,-3.1,22,Not Done"
"0.5,-3.7,22,Not Done"
"0.5,-4.3,22,Not Done"
"0.5,-4.5,20,Not Done"
"0.5,-5.5,20,Not Done"
"0.5,-2.9,23,Not Done"
"0.5,-3.5,21,Not Done"
"0.4,-6.6,17,Not Done"
"0.5,-3.7,21,Not Done"
"0.5,-2.9,23,Not Done"
"0.5,-0.1,27,Not Done"
"0.5,-7.4,19,Not Done"
"0.5,-5.4,20,Not Done"
"0.5,-1.8,23,Not Done"
"0.5,-0.3,26,Not Done"
"0.5,-4.5,21,Not Done"
"0.5,-4.3,21,Not Done"
"0.5,-1.4,24,Not Done"
"0.5,-0.0,28,Not Done"
"0.5,-4.4,22,Not Done"
"0.5,-3.7,22,Not Done"
"0.5,-1.6,25,Not Done"
"0.5,1.3,30,Not Done"
"0.5,-4.1,24,Not Done"
"0.5,-4.0,24,Not Done"
"0.5,-2.7,26,Not Done"
"0.5,-0.9,28,Not Done"
"0.5,-5.7,24,Not Done"
"0.5,-7.3,19,Not Done"
"0.5,-4.9,22,Not Done"
"0.5,-5.7,20,Not Done"
"0.5,-5.1,20,Not Done"
"0.5,-3.2,21,Not Done"
"0.5,-1.5,26,Not Done"
"0.5,-5.4,20,Not Done"
"0.5,-2.7,23,Not Done"
"0.5,-0.5,27,Not Done"
"0.5,-0.8,27,Not Done"
"0.5,-7.0,20,Not Done"
"0.5,-4.5,23,Not Done"
"0.5,-2.5,24,Not Done"
"0.5,-4.5,22,Not Done"
"0.5,-5.4,21,Not Done"
"0.5,-1.6,26,Not Done"
"0.5,-1.2,27,Not Done"
"0.5,-6.6,21,Not Done"
"0.5,-4.7,24,Not Done"
"0.5,-1.5,27,Not Done"
"0.6,-1.1,29,Not Done"
"0.6,-6.6,23,Not Done"
"0.6,-4.2,26,Not Done"
"0.6,-3.8,28,Not Done"
"0.6,-3.3,28,Not Done"
"0.5,-7.2,22,Not Done"
"0.5,-3.5,25,Not Done"
"0.6,-4.5,25,Not Done"
"0.5,-5.0,24,Not Done"
"0.5,-4.7,24,Not Done"
"0.5,-2.4,27,Not Done"
"0.6,-3.4,28,Not Done"
"0.6,-3.8,27,Not Done"
"0.5,-7.2,22,Not Done"
"0.5,-6.4,22,Not Done"
"0.5,-6.2,21,Not Done"
"0.5,-2.5,24,Not Done"
"0.5,-3.0,23,Not Done"
"0.5,-3.9,22,Not Done"
"0.5,-4.4,22,Not Done"
"0.5,-0.8,26,Not Done"
"0.5,-3.6,24,Not Done"
"0.5,-4.1,23,Not Done"
"0.5,-3.3,25,Not Done"
"0.5,-1.5,26,Not Done"
"0.5,-3.6,25,Not Done"
"0.5,-3.2,24,Not Done"
"0.5,-1.9,26,Not Done"
"0.5,-3.9,24,Not Done"
"0.5,-4.0,24,Not Done"
"0.5,-0.8,27,Not Done"
"0.5,-1.7,28,Not Done"
"0.5,-3.8,24,Not Done"
"0.5,-3.2,26,Not Done"
"0.5,-0.2,28,Not Done"
"0.6,-0.6,30,Not Done"
"0.6,-3.2,28,Not Done"
"0.6,-3.8,28,Not Done"
"0.6,-2.5,29,Not Done"
"0.6,-5.3,25,Not Done"
"0.5,-5.1,24,Not Done"
"0.6,-5.0,25,Not Done"
"0.6,-1.2,31,Not Done"
"0.6,-3.1,32,Not Done"
"0.6,-8.5,25,Not Done"
"0.6,-10.0,22,Not Done"
"0.6,-5.6,26,Not Done"
"0.6,-6.2,25,Not Done"
"0.6,-7.1,23,Not Done"
"0.6,-6.4,24,Not Done"
"0.5,-5.0,25,Not Done"
"0.5,-4.8,24,Not Done"
"0.5,-5.9,22,Not Done"
"0.5,-4.5,23,Not Done"
"0.5,-2.8,25,Not Done"
"0.5,-1.0,26,Not Done"
"0.5,-1.2,28,Not Done"
"0.6,-0.9,29,Not Done"
"0.6,-4.0,26,Not Done"
"0.6,-5.1,25,Not Done"
"0.6,-4.9,26,Not Done"
"0.6,-2.6,29,Not Done"
"0.6,-4.1,26,Not Done"
"0.6,-3.9,27,Not Done"
"0.6,-2.9,27,Not Done"
"0.6,-3.9,27,Not Done"
"0.6,-4.1,27,Not Done"
"0.5,-4.3,25,Not Done"
"0.5,-3.7,26,Not Done"
"0.5,-3.1,26,Not Done"
"0.6,-1.2,30,Not Done"
"0.6,-2.1,30,Not Done"
"0.6,-3.9,27,Not Done"
"0.6,-4.9,26,Not Done"
"0.6,-4.2,27,Not Done"
"0.5,-4.8,25,Not Done"
"0.5,-2.9,26,Not Done"
"0.5,-3.4,26,Not Done"
"0.5,-6.6,22,Not Done"
"0.6,-2.3,28,Not Done"
"0.6,-4.5,27,Not Done"
"0.6,-4.4,27,Not Done"
"0.6,-3.7,28,Not Done"
"0.6,-2.2,31,Not Done"
"0.6,-3.2,30,Not Done"
"0.6,-2.6,32,Not Done"
"0.6,-6.0,27,Not Done"
"0.6,-9.3,22,Not Done"
"0.5,-3.6,26,Not Done"
"0.6,-3.2,27,Not Done"
"0.6,-2.8,28,Not Done"
"0.6,-3.0,28,Not Done"
"0.6,-1.8,30,Not Done"
"0.6,-3.1,30,Not Done"
"0.6,-3.3,29,Not Done"
"0.6,-2.7,30,Not Done"
"0.6,-4.0,30,Not Done"
"0.6,-2.2,31,Not Done"
"0.6,-1.6,33,Not Done"
"0.6,-4.1,31,Not Done"
"0.6,-7.0,26,Not Done"
"0.6,-8.3,24,Not Done"
"0.6,-5.3,27,Not Done"
"0.6,-2.8,29,Not Done"
"0.6,-5.3,26,Not Done"
"0.6,-4.0,26,Not Done"
"0.6,-2.8,28,Not Done"
"0.6,-3.9,26,Not Done"
"0.5,-2.6,27,Not Done"
"0.6,-0.6,31,Not Done"
"0.6,-1.1,31,Not Done"
"0.6,-0.0,32,Not Done"
"0.6,1.6,36,Not Done"
"0.6,-5.9,28,Not Done"
"0.6,-5.3,29,Not Done"
"0.6,-3.5,30,Not Done"
"0.6,-3.0,31,Not Done"
"0.7,-1.9,34,Not Done"
"0.6,-4.8,30,Not Done"
"0.6,-4.5,31,Not Done"
"0.6,-2.4,33,Not Done"
"0.6,-4.2,31,Not Done"
"0.7,-2.7,34,Not Done"
"0.7,-0.6,35,Not Done"
"0.7,-3.7,33,Not Done"
"0.7,-5.3,31,Not Done"
"0.6,-5.1,29,Not Done"
"0.6,-1.6,32,Not Done"
"0.7,0.2,39,Not Done"
"0.7,-4.1,35,Not Done"
"0.7,-2.8,38,Not Done"
"0.8,-4.7,37,Not Done"
"0.7,-5.4,35,Not Done"
"0.8,-5.3,36,Not Done"
"0.8,-5.6,37,Not Done"
"0.8,-5.0,37,Not Done"
"0.7,-9.3,31,Not Done"
"0.7,-8.1,31,Not Done"
"0.7,-6.0,33,Not Done"
"0.7,-3.2,34,Not Done"
"0.7,-6.1,31,Not Done"
"0.7,-5.7,31,Not Done"
"0.7,-3.1,34,Not Done"
"0.7,-3.9,33,Not Done"
"0.7,-2.5,36,Not Done"
"0.7,-1.9,39,Not Done"
"0.7,-2.6,37,Not Done"
"0.7,-7.8,32,Not Done"
"0.7,-5.3,31,Not Done"
"0.7,-5.0,34,Not Done"
"0.7,-4.0,34,Not Done"
"0.7,-2.8,35,Not Done"
"0.7,-4.3,34,Not Done"
